1,0
1,1
2,0
2,1
12,29
12,30
12,31
12,32
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
13,29
13,32
13,33
13,34
13,35
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,49
13,58
14,29
14,58
15,29
15,58
16,29
16,58
17,14
17,29
17,58
17,59
18,14
18,29
18,59
19,14
19,29
19,59
20,14
20,29
20,59
21,14
21,29
21,59
22,14
22,29
22,59
23,14
23,29
23,59
24,14
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
24,40
24,41
24,42
24,43
24,44
24,45
24,46
24,47
24,48
24,49
24,50
24,51
24,52
24,53
24,54
24,55
24,56
24,57
24,58
24,59
25,14
48,48
48,49
48,50
49,48
49,50
50,48
50,50
